start	end	text
0	16880	三月二十六號 尊敬的兄弟姐妹們大家好 七哥在這裏呢
16880	18840	向所有的兄弟姐妹們
23000	26920	剛才你稀少的說 你這個嘴別到時候說話說成中秋節快樂
27320	30480	結果昨天晚上我發現給戰友們說的都是中秋節快樂
30480	33600	結果兄弟姐妹們說 七哥 今天元宵節
34320	36320	我這沒有時間概念啊 真的是
36520	41200	沒有節日概念 沒有生日概念 沒有什麽紀念日的概念啊
41200	46920	這是七哥 這是上天給了我一個 拔掉了我一個功能
47560	51800	但是我挺開心的 因為這不談錢 沒有數字概念
51800	52920	兜裏從來沒有錢
53920	59040	二月二十六號 尊敬的兄弟姐妹們 元宵節快樂
59040	65240	七哥在這裏 衷心的祝福所有的中國同胞 戰友們及家人們
65760	67640	元宵節快樂
69200	73240	昨天我這套衣服我這個穿的 很多戰友們都喜歡
73240	74640	很多戰友們都喜歡
76040	78680	七哥今天在穿上 給大家直播一下
79320	82280	這個兄弟姐妹們啊 從昨天晚上到現在
82320	86720	很多很多很多人的這個 給我發信息啊
86720	88520	都是祝元宵節快樂
89160	92280	這個七哥真的是沒辦法一一而回啊 沒辦法
92280	96200	這是 所以說七哥呢 就在這直播亂播一下
96560	100280	在亂播前呢 你看到我這個播的這兩個視頻
101520	103840	大家要看到啊 特別有意思
104360	108680	金燦榮這個視頻啊 真的是太牛叉了 太牛叉了
109000	112880	就這個視頻一下子啊 在西方引起的轟動
113360	117960	是巨大的 巨大的就把美國打趴下 打服這個這幾句話
118440	123200	包括他對整個中美關係的解構和中共的排法
123560	125280	大家你不要小看了金燦榮啊
126120	130440	金燦榮絕對是共產黨 他和胡錫進
130920	136360	是共產黨養的最好的兩個 高級的 官方的 承認的
137040	139040	兩個這種咬人的狗
140200	142720	你是可以從這兩個人身上的行為
143000	144800	你可以判斷出共產黨的政策吧
145680	149320	而且外國人現在經過爆料革命和新中國聯邦GTV
149320	151760	G-News 啊 多次以後
154720	160840	這個確實啊 他們認識到了金大將軍啊 還有胡錫進
162280	165480	胡錫進 胡建台 胡建台 胡建台
166680	170120	那麼 特別是對影響的比較大的啊
176040	179360	特別是這個 在這個病毒前
179360	183200	我們對金大將軍 還有張召忠 張菊
183920	186640	等這些人胡錫進在西方啊
187000	190160	一再的推薦把他們給搞火了 搞火了
190600	194560	現在這個 我把這個金燦榮這段視頻發到世界上
194600	199360	各地的宗教 科學 政治 情報 軍事部門之後
199760	201160	很多人是有感觸的
202240	204240	說 Miles 你們這個講的非常非常好
204960	209160	你們給我們發的這個信息 我們很受用 很受用
210720	213360	我今天再播一遍 目的告訴大家是什麼呢
213840	216680	當然大家千萬記住 不要把我們爆料革命
216680	218920	特別是重要的我們一些政治觀點
219440	222520	和一些有立場的和爆料的一些核心的信息呢
222840	224280	當成娛樂給整沒了
225040	229040	那個就不好玩了 因為這都是重要時刻
229920	230760	重要時刻
231320	234160	那麼從金燦榮這個事情要把美國
234160	236160	你不行就把你打趴下 打服
236480	240520	包括對龐皮奧的整個評價 包括對拜登的評價
241000	245800	包括對川普的評價 包括對中美之間貿易的本質的評價
246120	248280	還有他對四年以後的評價
249160	251560	你都能看得出來共產黨在想幹啥
252120	254760	共產黨想幹啥大家已經很清楚了
255480	260040	就是給我點時間 然後把這個滅白計劃進行下去
260680	264440	把美國給你幹滅它 把美元給你幹垮它
265160	270800	就這麼簡單的事兒 說再多複雜都沒任何的用
270800	273720	哎呀 極凡神 極凡神 沒任何用
274200	277600	它的本質就在這兒呢 對不對
278200	283960	對不對 就是給點時間把你白人和這個種族性給你調起來
284120	286280	給你滅了 把你美元滅了
286480	289440	然後呢共產黨充霸世界 就這麼簡單
290640	294040	那你要實行這個計劃 你說咋辦 大家說說
301320	305840	對吧 大家你想想 怎麼實驗
305840	307360	Yeah 不行
335840	361840	我可以再往前点儿 暂时暂时的加个细节
361840	371840	记住得看夹克啊 兄弟姐妹们啊
371840	389840	继续啊
389840	410840	所以说啊 兄弟姐妹们 他这个王八蛋啊
410840	414840	这个说这些话啊 这个对咱爆料革命
414840	417840	对灭共事业是有巨大的帮助的啊
417840	419840	巨大的帮助 认为让西方啊
419840	422840	人家这个西方人不是啥子要证据吗
422840	427840	这哥们给送证据来了 是吧 给送证据来了
427840	431840	另外一个呢 兄弟姐妹们 大家通过这个视频
431840	437840	我们也可以判断他对台湾 对台湾对香港整个的看法
437840	439840	他怎么看台湾香港的 看明白了吗
439840	442840	香港已经不在内了 已经是里边一个省了
442840	446840	下一步就是台湾 所谓中美之间安全的问题
446840	449840	说啥也不会给你打仗 我不会给你打
449840	453840	我只蓝金黄你 我用生化武器搞死你
453840	456840	我把美元搞掉 我说啥我也不给你打
457840	461840	但是他要打台湾 那打台湾美国能不掺和吗
462840	465840	这就是大家看到这里面巧妙了
465840	468840	所有的西方都寄托于把美国蓝金黄掉
468840	470840	把美国的经济搞垮
471840	475840	然后到那时候打台湾的时候 美国没钱没能力
476840	479840	你没有钱没能力 我还要往前点
479840	483840	没有钱没能力 你给我扯 你来掺和美国这点事
485840	488840	到那时候你已经 美元已经完蛋了
488840	491840	你掺和啥呀 跟你啥关系呀
491840	493840	你没有能力来对付这事了
493840	496840	这是他真正的打算 大家发现了吗
496840	500840	这才是真正的 就是打台湾的时候让你美国人
500840	503840	内部我蓝金黄的没有人支持
503840	506840	没有任何人支持你来掺和台湾的事
507840	510840	没有任何人的掺和 让支持你掺和台湾的事
510840	513840	你不就完了吗 国会不同意
513840	516840	总统被干掉了 蓝金黄了
516840	519840	那你想 你谁来掺和 谁来支持你呀
521840	525840	就是你想打 你也没有这个钱 你也没有这个能力
526840	528840	台湾真的是太危险了
528840	530840	然后有战友给我发信息说
530840	534840	现在像台湾台积电这种75%都是西方人的控股
534840	538840	为什么股票没有跌 为什么还没有
539840	543840	为什么还没有任何变化
543840	547840	我想告诉兄弟姐妹们 一个基本的常识
547840	551840	如果你发现这些股票已经开始抛了
551840	554840	如果你发现这些人开始跑了
554840	558840	那就不叫现代战争 那叫大清朝以前的战争
558840	561840	大家看看伊拉克都到什么程度
561840	565840	伊拉克都已经是 坦克都到了 大兵压境了
565840	568840	伊拉克的房地产还涨呢
570840	576840	你现在看看在伊朗 鸡蛋涨 民事涨 房地产一样涨
578840	581840	你再看看今天的日本的东京
581840	584840	什么日本的经济 大家泡沫在那摆着呢
584840	586840	在房地产还在涨
586840	588840	在房地产还在涨
